Gene	c2	c4	c3	Anc3	Anc2	c1	c5	Anc4	Anc1
c1_INF2	2	2	2	2	2	2	3	2	2
c1_ISLR	2	2	2	2	2	2	3	2	2
c1_JPT2	2	2	2	2	2	2	3	2	2
c1_KIF22	2	2	2	2	2	2	3	2	2
c1_KIF24	2	2	2	2	2	2	3	2	2
c1_KNTC1	2	2	2	2	2	2	3	2	2
c1_LIN9	2	2	2	2	2	2	3	2	2
c1_LINC00664	2	2	2	2	2	2	3	2	2
c1_LINC01515	2	2	2	2	2	2	3	2	2
c1_LINC02232	2	2	2	2	2	2	3	2	2
c1_LRRC45	2	2	2	2	2	2	3	2	2
c1_LSM4	2	2	2	2	2	2	3	2	2
c1_MASTL	2	2	2	2	2	2	3	2	2
c1_MBNL3	2	2	2	2	2	2	3	2	2
c1_MCM4	2	2	2	2	2	2	3	2	2
c1_MCM8	2	2	2	2	2	2	3	2	2
c1_MIS18A	2	2	2	2	2	2	3	2	2
c1_MMS22L	2	2	2	2	2	2	3	2	2
c1_MPHOSPH9	2	2	2	2	2	2	3	2	2
c1_MRE11	2	2	2	2	2	2	3	2	2
c1_MSH5	2	2	2	2	2	2	3	2	2
c1_MTBP	2	2	2	2	2	2	3	2	2
c1_MYBL1	2	2	2	2	2	2	3	2	2
c1_NAB1	2	2	2	2	2	2	3	2	2
c1_NCAPD2	2	2	2	2	2	2	3	2	2
c1_NCAPD3	2	2	2	2	2	2	3	2	2
c1_NCAPG2	2	2	2	2	2	2	3	2	2
c1_NEMP2	2	2	2	2	2	2	3	2	2
c1_NHSL1	2	2	2	2	2	2	3	2	2
c1_NRM	2	2	2	2	2	2	3	2	2
c1_NUP107	2	2	2	2	2	2	3	2	2
c1_OAS3	2	2	2	2	2	2	3	2	2
c1_PARP1	2	2	2	2	2	2	3	2	2
c1_PCNT	2	2	2	2	2	2	3	2	2
c1_PLK1	2	2	2	2	2	2	3	2	2
c1_POLA1	2	2	2	2	2	2	3	2	2
c1_POLD3	2	2	2	2	2	2	3	2	2
c1_POLE3	2	2	2	2	2	2	3	2	2
c1_POLH	2	2	2	2	2	2	3	2	2
c1_PRIM2	2	2	2	2	2	2	3	2	2
c1_PRKD3	2	2	2	2	2	2	3	2	2
c1_PRTFDC1	2	2	2	2	2	2	3	2	2
c1_PSMC3IP	2	2	2	2	2	2	3	2	2
c1_PTPRC	2	2	2	2	2	2	3	2	2
c1_RAD18	2	2	2	2	2	2	3	2	2
c1_RANBP1	2	2	2	2	2	2	3	2	2
c1_RBBP8	2	2	2	2	2	2	3	2	2
c1_RBL1	2	2	2	2	2	2	3	2	2
c1_RCC1	2	2	2	2	2	2	3	2	2
c1_RCC2	2	2	2	2	2	2	3	2	2
c1_RECQL	2	2	2	2	2	2	3	2	2
c1_REXO5	2	2	2	2	2	2	3	2	2
c1_RFC2	2	2	2	2	2	2	3	2	2
c1_RFC3	2	2	2	2	2	2	3	2	2
c1_RFC4	2	2	2	2	2	2	3	2	2
c1_RFLNA	2	2	2	2	2	2	3	2	2
c1_RFWD3	2	2	2	2	2	2	3	2	2
c1_RNASEH2B	2	2	2	2	2	2	3	2	2
c1_RRM1	2	2	2	2	2	2	3	2	2
c1_RTTN	2	2	2	2	2	2	3	2	2
c1_SDC1	2	2	2	2	2	2	3	2	2
c1_SFXN2	2	2	2	2	2	2	3	2	2
c1_SGO2	2	2	2	2	2	2	3	2	2
c1_SH2D4A	2	2	2	2	2	2	3	2	2
c1_SIPA1	2	2	2	2	2	2	3	2	2
c1_SKP2	2	2	2	2	2	2	3	2	2
c1_SLC12A8	2	2	2	2	2	2	3	2	2
c1_SLC37A4	2	2	2	2	2	2	3	2	2
c1_SLF1	2	2	2	2	2	2	3	2	2
c1_SLF2	2	2	2	2	2	2	3	2	2
c1_SMC1A	2	2	2	2	2	2	3	2	2
c1_SMC2	2	2	2	2	2	2	3	2	2
c1_SYNE2	2	2	2	2	2	2	3	2	2
c1_TBC1D31	2	2	2	2	2	2	3	2	2
c1_TEDC1	2	2	2	2	2	2	3	2	2
c1_TMPO	2	2	2	2	2	2	3	2	2
c1_TONSL	2	2	2	2	2	2	3	2	2
c1_TP73	2	2	2	2	2	2	3	2	2
c1_USP1	2	2	2	2	2	2	3	2	2
c1_VTN	2	2	2	2	2	2	3	2	2
c1_WDHD1	2	2	2	2	2	2	3	2	2
c1_WDR76	2	2	2	2	2	2	3	2	2
c1_WDR90	2	2	2	2	2	2	3	2	2
c1_WWC3	2	2	2	2	2	2	3	2	2
c1_XRCC3	2	2	2	2	2	2	3	2	2
c1_ZGRF1	2	2	2	2	2	2	3	2	2
c1_ZNF107	2	2	2	2	2	2	3	2	2
c1_ZNF367	2	2	2	2	2	2	3	2	2
c1_ZNF730	2	2	2	2	2	2	3	2	2
c1_ZNF788P	2	2	2	2	2	2	3	2	2
c1_ZNF93	2	2	2	2	2	2	3	2	2
DUMMY50	-100	-100	-100	-100	-100	-100	-100	-100	-100
c1_AC004012.1	2	2	2	2	2	3	3	3	3
c1_AC007952.4	2	2	2	2	2	3	3	3	3
c1_AC009005.1	2	2	2	2	2	3	3	3	3
c1_AC092919.1	2	2	2	2	2	3	3	3	3
c1_ACSM1	2	2	2	2	2	3	3	3	3
c1_AJ009632.2	2	2	2	2	2	3	3	3	3
c1_AL031005.1	2	2	2	2	2	3	3	3	3
c1_ALYREF	2	2	2	2	2	3	3	3	3
c1_APELA	2	2	2	2	2	3	3	3	3
c1_APOL2	2	2	2	2	2	3	3	3	3
c1_ARHGAP11A	2	2	2	2	2	3	3	3	3
c1_ASF1B	2	2	2	2	2	3	3	3	3
c1_ASPM	2	2	2	2	2	3	3	3	3
c1_ATAD2	2	2	2	2	2	3	3	3	3
c1_BARD1	2	2	2	2	2	3	3	3	3
c1_BRIP1	2	2	2	2	2	3	3	3	3
c1_BUB1	2	2	2	2	2	3	3	3	3
c1_CCNB2	2	2	2	2	2	3	3	3	3
c1_CCNE2	2	2	2	2	2	3	3	3	3
c1_CCNO	2	2	2	2	2	3	3	3	3
c1_CDC20	2	2	2	2	2	3	3	3	3
c1_CDC6	2	2	2	2	2	3	3	3	3
c1_CDCA4	2	2	2	2	2	3	3	3	3
c1_CDCA5	2	2	2	2	2	3	3	3	3
c1_CDCP1	2	2	2	2	2	3	3	3	3
c1_CDK1	2	2	2	2	2	3	3	3	3
c1_CDT1	2	2	2	2	2	3	3	3	3
c1_CENPF	2	2	2	2	2	3	3	3	3
